Names Date,AAPL,AXP,BA,CAT,COST,CSCO,CVX,DD,DIS,F,GE,GOOG,HD,HPQ,IBM,INTC,JNJ,JPM,KO,MCD,MSFT,T,TGT,VZ,WMT,XOM,YHOO,
01/03/2011,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
01/04/2011,0.0052189215,0.0126728111,0.0081325301,-0.0046733935,-0.0019318339,0.0014641288,-0.0036980640,-0.0027983210,0.0309360127,0.0075362319,0.0180525164,-0.0036898818,-0.0181251770,0.0208235845,0.0010848929,0.0143884892,0.0084368036,0.0133088573,-0.0206991720,-0.0298955614,0.0038420300,0.0070778564,-0.0128352806,0.0200384299,0.0038489736,0.0046948357,-0.0094925373,
01/05/2011,0.0081801139,0.0248009101,0.0080669256,0.0086436880,-0.0185261994,0.0121832359,-0.0017467249,0.0066145520,0.0248781739,0.0293440736,0.0016120365,0.0115425663,-0.0031727718,0.0130644052,-0.0039962070,-0.0099290780,-0.0006314128,0.0122282609,-0.0059495851,0.0047099987,-0.0031152648,0.0033467202,-0.0175029172,0.0137244349,-0.0065729414,-0.0026702270,0.0192272919,
01/06/2011,-0.0008083533,-0.0068827709,0.0195613515,-0.0103681760,-0.0047894070,0.0086663457,-0.0082020997,-0.0047789725,-0.0077577578,0.0184460593,-0.0042918455,0.0072733675,-0.0040509259,0.0153846154,0.0109486569,-0.0081184336,-0.0015795293,-0.0049217002,-0.0072452355,-0.0060273239,0.0292857143,-0.0276851234,-0.0680352901,-0.0382267056,-0.0082705385,0.0064257028,0.0088113542,
01/07/2011,0.0071614477,-0.0082718533,0.0084302326,0.0020312166,0.0000000000,0.0009546539,0.0055132870,-0.0044017607,-0.0050441362,0.0027442371,-0.0070043103,0.0047921760,-0.0011621150,0.0046791444,-0.0049106014,-0.0052961001,-0.0096503718,-0.0188848921,-0.0017452007,0.0021560437,-0.0076335878,-0.0102915952,0.0021845986,-0.0082804306,0.0022238695,0.0054535781,-0.0091740430,
01/10/2011,0.0188474057,0.0022542831,-0.0041798789,-0.0036274405,-0.0024062279,-0.0085836910,-0.0085535695,-0.0146704180,0.0012674271,0.0021893815,0.0043407488,-0.0036175135,0.0002908668,-0.0051009093,-0.0019603192,0.0014520813,-0.0070287540,-0.0054995417,0.0022250477,-0.0108914885,-0.0132867133,-0.0176776430,0.0030881017,-0.0002783190,-0.0064718935,-0.0060854610,-0.0178967608,
01/11/2011,-0.0023798164,0.0130454341,-0.0018816037,0.0059963594,0.0083711691,0.0043290043,0.0157062272,-0.0012237406,-0.0025316456,-0.0016384489,0.0064829822,0.0029305774,0.0136667636,0.0127061971,-0.0024383636,0.0173997100,0.0017696268,0.0046082949,-0.0058674278,0.0046220772,-0.0038979447,-0.0151729005,-0.0005432814,-0.0155902004,0.0104224828,0.0074537468,-0.0012048193,
01/12/2011,0.0081372202,-0.0008880995,0.0172563805,-0.0048962214,0.0059096665,0.0114942529,0.0067516062,0.0026546865,-0.0058375635,0.0235229759,0.0021470746,0.0013960650,-0.0008605852,0.0046224961,0.0123574823,0.0119952494,0.0036935924,0.0254587156,0.0055830276,-0.0040595399,0.0156527926,0.0046578287,0.0047109984,0.0031108597,0.0103149751,0.0117584886,0.0042219542,
01/13/2011,0.0036582660,0.0013333333,-0.0045616536,0.0069526153,0.0015386767,-0.0018939394,-0.0029204976,0.0059063136,0.0022976768,-0.0016034206,-0.0037493305,-0.0002917957,0.0126327878,0.0002191060,-0.0018779341,-0.0005867856,0.0065600000,-0.0058152539,0.0057106599,-0.0126358696,-0.0126094571,0.0014265335,-0.0005410280,0.0093036369,-0.0010938924,0.0016975712,0.0060060060,
01/14/2011,0.0081000349,0.0264092321,0.0034369182,-0.0013809220,0.0127094972,0.0061669829,0.0070514211,0.0083012756,0.0007641365,-0.0016059957,0.0116935484,0.0121454702,0.0175786788,0.0131434830,0.0079289741,-0.0098637858,-0.0057224607,0.0103487064,-0.0042586751,0.0191275630,0.0039020929,0.0124643875,-0.0063154096,-0.0094972067,0.0003650301,0.0147308043,0.0035820896,
01/18/2011,-0.0224690650,0.0025945946,0.0342514628,0.0236145091,0.0012412081,0.0002357379,0.0056016374,-0.0020080321,0.0025451769,0.0026809651,-0.0115583898,0.0247524917,0.0036221789,0.0019459459,0.0043332667,0.0001185958,-0.0071942446,-0.0035626809,0.0055441153,0.0083715906,0.0127208481,-0.0035174112,-0.0079898311,-0.0310208686,0.0060207991,0.0111767729,-0.0185008923,
01/19/2011,-0.0053133423,-0.0243692042,-0.0102111218,-0.0071703211,-0.0073002755,-0.0186189017,-0.0040707017,-0.0164989940,-0.0076161462,-0.0427807487,-0.0145161290,-0.0123196223,-0.0108273182,-0.0004315926,0.0334550968,-0.0034388711,0.0074074074,-0.0232402235,-0.0009451796,0.0089716122,-0.0066294487,0.0000000000,-0.0018304961,0.0069848661,-0.0019949220,-0.0059712870,-0.0114552397,
01/20/2011,-0.0181797013,0.0006631300,-0.0085041126,-0.0202009629,0.0040238657,-0.0024015370,-0.0027966011,-0.0155482815,0.0020465592,-0.0067039106,0.0054555374,-0.0078828334,0.0241369632,0.0099309154,0.0007065322,-0.0028557830,0.0047953964,0.0237931823,-0.0077262693,-0.0025215660,-0.0041271514,-0.0035298270,0.0187052998,0.0002890173,0.0174450300,-0.0062627812,-0.0049356223,
01/21/2011,-0.0179150841,0.0161254694,0.0078740157,-0.0091870527,0.0056661139,-0.0021665864,0.0115413655,0.0047797174,0.0145519530,0.0095613048,0.0710797613,-0.0238364943,0.0005480954,0.0096194955,-0.0019255456,-0.0062052506,-0.0031816736,0.0120670391,-0.0025425075,-0.0019957424,-0.0117273609,0.0035423309,0.0032403240,0.0098237504,-0.0046436864,0.0158199357,-0.0162974830,
01/24/2011,0.0328416075,-0.0045652174,0.0146484375,0.0196226415,-0.0020612890,0.0214716526,0.0034122414,0.0111685626,0.0050327126,-0.0011142061,0.0151975684,-0.0012258307,0.0038345659,0.0067753546,0.0265594855,0.0201729107,-0.0070220236,-0.0059615809,0.0076469651,0.0049326756,0.0128479657,0.0052947406,0.0012560560,0.0082975680,0.0057419702,-0.0049379590,0.0078296273,
01/25/2011,0.0117053782,-0.0216204411,-0.0067372474,-0.0019033520,-0.0022032498,0.0174775626,-0.0002125399,0.0030681121,-0.0020030045,-0.0022308979,-0.0029940120,0.0144497442,0.0139154161,-0.0098843323,0.0113387208,0.0145951036,-0.0183220829,-0.0033318525,-0.0045849802,0.0013266118,0.0024665257,0.0098314607,0.0026881720,0.0156072645,0.0215878680,0.0011451839,-0.0043505283,
01/26/2011,0.0071763915,-0.0075892857,-0.0307308970,0.0144083060,0.0022081148,-0.0055710306,0.0059523810,0.0261011419,-0.0105368791,0.0268306316,-0.0030030030,-0.0055007504,0.0069967707,-0.0042480884,-0.0024777626,0.0092807425,-0.0078585462,0.0024515266,0.0000000000,-0.0041070482,0.0115992970,-0.0010431154,-0.0064343164,0.0170438670,0.0010478519,0.0124555160,-0.0279338327,
01/27/2011,-0.0018613348,0.0017993702,0.0077120823,0.0091906005,0.0068851556,0.0009337068,0.0011622992,-0.0009936407,0.0005070994,0.0228633642,0.0180722892,0.0004703650,0.0149652592,-0.0029863481,0.0001864133,0.0000000000,0.0013201320,0.0026678524,-0.0041296061,-0.0109086072,0.0031271716,-0.0208840933,-0.0136715237,0.0024725275,0.0043614794,0.0027617374,0.0402953925,
01/28/2011,-0.0207161219,-0.0152671756,-0.0188492063,-0.0098313153,-0.0162746171,-0.0237873134,-0.0145646438,0.0003978516,-0.0154586923,-0.1341138904,-0.0039447732,-0.0256164829,-0.0337019484,-0.0263157895,-0.0115477735,-0.0133333333,-0.0110415293,-0.0124168514,-0.0078149920,-0.0143913921,-0.0387599584,-0.0227515108,-0.0087543316,-0.0235681008,-0.0151120375,-0.0111417126,-0.0228395062,
01/31/2011,0.0095804817,-0.0109439124,0.0036111512,0.0139005017,-0.0012512165,0.0105112279,0.0167077220,0.0077550209,0.0005148005,-0.0196681008,-0.0029702970,-0.0010482704,0.0019073569,0.0039551747,0.0175239610,0.0000000000,-0.0039993334,0.0089806915,0.0102877351,0.0053220524,-0.0009369032,0.0010913059,0.0088316467,-0.0002806624,-0.0111111111,0.0213951133,0.0183196462,
02/01/2011,0.0168277432,0.0050714615,0.0116580311,0.0103082156,0.0082126949,0.0151300236,0.0135889603,0.0193370166,0.0259840494,-0.0037617555,0.0327706058,0.0177893100,0.0059831384,0.0181659006,0.0096296296,0.0009319664,0.0143884892,0.0220293725,0.0031821798,-0.0027148093,0.0096483318,0.0127180233,-0.0034652562,0.0182481752,0.0046370608,0.0400347050,0.0161290323,
02/02/2011,-0.0020577631,0.0027522936,0.0101010101,0.0110192837,-0.0218141654,0.0069864928,0.0027021409,0.0036778939,0.0152958877,-0.0308370044,-0.0043269231,0.0015711247,-0.0116247634,0.0079535684,-0.0015896307,0.0037243948,-0.0001649349,-0.0104506858,-0.0030134814,0.0023138696,-0.0018755024,-0.0071761751,-0.0215959004,-0.0030328095,-0.0083436890,-0.0059587653,0.0115995116,
02/03/2011,-0.0025557911,-0.0043458371,-0.0002816901,-0.0016146937,0.0448835568,0.0134135060,0.0086028192,0.0015429122,0.0002469746,0.0233766234,0.0019314341,-0.0030228431,0.0038293217,0.0091703988,0.0014084507,0.0004638219,0.0029693171,0.0002200220,-0.0046134267,0.0025801195,-0.0103793844,0.0115648717,0.0111765806,0.0060840708,0.0010741139,0.0003596691,0.0073928787,
02/04/2011,0.0089098532,0.0066620721,0.0056353903,0.0066713838,0.0013508037,0.0063897764,-0.0020552872,0.0115540150,0.0051851852,-0.0025380711,-0.0091566265,0.0013602556,0.0027247956,0.0023245985,0.0028740904,0.0050996755,0.0006578947,-0.0191377035,-0.0001598210,0.0029798185,0.0043399638,-0.0007145409,0.0039309994,-0.0019241341,0.0019670959,-0.0019175455,0.0055414108,
02/07/2011,0.0155266955,0.0228206298,0.0077052396,0.0088362285,0.0016187778,-0.0009070295,0.0056636804,0.0152293927,0.0056497175,0.0248091603,0.0150778210,0.0054257097,-0.0054347826,0.0149694286,0.0050000610,0.0004612546,0.0004930966,0.0204081633,-0.0006393862,-0.0081026334,0.0153943104,-0.0003575259,0.0097659849,-0.0079867805,0.0007139033,0.0078049952,0.0008936550,
02/08/2011,0.0094350631,0.0236501562,0.0108438760,0.0013934508,0.0074074074,-0.0018157059,0.0008191685,0.0071254453,0.0058622374,0.0080695220,0.0196454241,0.0066499323,0.0153005464,0.0000000000,0.0074626254,-0.0025357308,0.0011499918,0.0052747253,0.0055982086,0.0260040844,0.0030144516,-0.0017882690,0.0107664234,0.0088839534,0.0055288033,-0.0113189563,-0.0122023810,
02/09/2011,0.0083333049,-0.0034873583,-0.0011002613,-0.0081502833,-0.0017379679,0.0022737608,-0.0153468386,0.0022342208,0.0529383196,-0.0092364532,0.0014097744,-0.0030402018,0.0002691066,0.0166181969,-0.0084312556,-0.0080887451,-0.0009845750,-0.0137735024,0.0044536345,0.0075636943,-0.0110492354,0.0021497671,-0.0068604441,0.0093560815,0.0062078751,-0.0051819716,-0.0099427538,
02/10/2011,-0.0101071867,0.0185914261,0.0004130525,0.0081170458,-0.0016070711,-0.1415607985,0.0047797174,0.0092885008,-0.0011531365,-0.0087010566,-0.0018770530,-0.0000973236,0.0037664783,-0.0081732734,-0.0034010934,0.0158434296,0.0008212878,0.0093105742,0.0061757720,-0.0022389043,-0.0168037183,0.0096531999,-0.0081803308,-0.0070883315,-0.0200951877,0.0078740157,0.0115642118,
02/11/2011,0.0065154847,0.0038651492,-0.0071566199,0.0292246521,0.0065727700,-0.0116279070,-0.0025853154,0.0046015093,0.0023089356,0.0269592476,0.0028208745,0.0130750762,0.0045564192,0.0020601566,-0.0014625510,-0.0018348624,-0.0037748236,0.0228420821,0.0004721435,0.0050158395,-0.0090909091,0.0081444759,-0.0031158358,-0.0008237232,0.0017988847,-0.0045673077,0.0138387485,
02/14/2011,0.0065292978,-0.0049197861,0.0016634322,-0.0027042689,-0.0050639659,0.0058823529,0.0051840332,-0.0010993038,-0.0039161484,-0.0177045177,0.0079699953,0.0058447078,0.0026680896,-0.0067845395,-0.0038450410,-0.0087316176,0.0000000000,-0.0006441915,-0.0067641969,0.0013133701,-0.0007339450,-0.0003512469,-0.0139731568,-0.0134652377,-0.0159813252,0.0252354504,0.0023738872,
02/15/2011,0.0020045660,-0.0070937231,-0.0119014669,-0.0025179159,-0.0044200375,-0.0074428495,-0.0062919030,-0.0075201761,-0.0034690102,0.0006215040,-0.0018604651,-0.0063679056,0.0029270889,-0.0066238874,-0.0023281461,-0.0055632823,-0.0013179572,0.0060163300,0.0007918910,-0.0011804827,-0.0099155343,-0.0077301476,0.0042886444,0.0155988858,0.0027372263,-0.0228477211,0.0183540557,
02/16/2011,0.0089747432,0.0145053042,0.0151260504,0.0053398058,0.0084757164,-0.0048205678,0.0033215694,0.0103492885,0.0141564168,-0.0031055901,-0.0009319664,0.0001120724,0.0045104802,0.0208376745,0.0034388971,0.0139860140,-0.0016496206,0.0239214011,0.0033233107,-0.0017071569,0.0022255193,0.0021246459,-0.0022279985,-0.0079539221,-0.0072793449,0.0086778354,0.0325581395,
02/17/2011,-0.0133010492,-0.0230473752,-0.0033112583,-0.0018348624,-0.0016008538,0.0053821313,0.0052762259,0.0168282422,0.0000000000,-0.0049844237,0.0037313433,0.0016661434,0.0084521923,-0.0075525617,0.0051408816,0.0101149425,0.0044613351,-0.0025031289,0.0181388013,-0.0005261773,0.0070318283,0.0070671378,-0.0109787868,0.0055294443,0.0036663611,0.0022702832,0.0005630631,
02/18/2011,-0.0216019822,-0.0054609000,0.0110741971,0.0241873065,0.0078834848,0.0091006424,0.0159514253,0.0070156503,-0.0032036613,-0.0125234815,-0.0037174721,0.0077088090,0.0078575170,0.0010283834,0.0036531293,0.0077378243,0.0052640237,0.0037641154,0.0000000000,0.0019742037,-0.0055126792,0.0024561404,-0.0235183443,0.0068737971,0.0115068493,0.0073915117,-0.0061902082,
02/22/2011,-0.0340883444,-0.0272347902,-0.0288882804,-0.0363687890,-0.0204162800,-0.0137931034,0.0162074554,-0.0285816363,-0.0208907254,-0.0342422321,-0.0289179104,-0.0315356770,-0.0101351351,-0.0090404767,-0.0175321524,-0.0149051491,-0.0075274096,-0.0414583333,-0.0122385747,-0.0056482333,-0.0173688101,-0.0129506475,-0.0159922929,-0.0169306390,-0.0308775731,0.0111242604,-0.0427519819,
02/23/2011,0.0118425626,-0.0191916911,-0.0098688848,-0.0195078914,-0.0142103126,-0.0102205487,0.0194377990,-0.0123207061,-0.0121922626,-0.0242941563,-0.0216138329,0.0018190295,-0.0207403518,-0.0962056811,-0.0109293609,-0.0302613480,-0.0042868920,-0.0010867203,0.0023525721,-0.0067371202,0.0000000000,-0.0060283688,-0.0158605835,-0.0052777778,-0.0119247252,0.0190777154,-0.0192250813,
02/24/2011,0.0007588582,0.0027624309,0.0075466325,0.0054989002,0.0019220209,-0.0021739130,-0.0023467292,-0.0124743996,0.0068834560,-0.0107671602,0.0103092784,-0.0040895112,-0.0042895442,-0.0325762790,0.0036834189,0.0063829787,-0.0023182646,-0.0010879025,-0.0004694101,0.0002659928,0.0067694622,-0.0039243667,0.0346199761,-0.0064227869,-0.0177258156,-0.0126335133,-0.0126658625,
02/25/2011,0.0153989734,-0.0006887052,0.0217637083,0.0142189520,0.0080844067,0.0152505447,0.0006860727,0.0194193062,0.0124941066,0.0251700680,0.0116618076,0.0020038270,-0.0016155089,0.0120939056,0.0093922996,0.0270143293,-0.0101244813,0.0167719451,0.0067313713,-0.0102380003,-0.0082181547,0.0075214900,0.0069230769,0.0109612142,-0.0065271645,-0.0073281377,0.0079413561,
02/28/2011,0.0145047966,0.0009189065,-0.0040110650,0.0091176471,0.0165828463,-0.0042918455,0.0161606268,0.0147956353,0.0183934808,-0.0013271400,0.0048030740,0.0055079013,0.0105177994,0.0222586692,-0.0024648755,-0.0178408051,0.0301810865,0.0002142245,-0.0060643757,0.0166577109,0.0011299435,0.0088873089,0.0036287242,0.0264108980,0.0044444444,0.0022263886,-0.0060606061,
03/01/2011,-0.0110415620,-0.0096396603,-0.0262463547,-0.0298260954,-0.0156438026,0.0000000000,-0.0081927711,-0.0300710771,-0.0171467764,-0.0259136213,-0.0320267686,-0.0206064715,-0.0189484921,-0.0165024066,-0.0117988634,-0.0037261295,-0.0120442708,-0.0233454701,0.0154881101,-0.0104386892,-0.0158013544,-0.0105708245,-0.0015223597,-0.0243770314,0.0017314352,-0.0085350170,-0.0182926829,
03/02/2011,0.0080444304,-0.0030127462,-0.0078436965,0.0111155618,-0.0252648737,-0.0032327586,0.0055393586,-0.0030063886,0.0069783671,0.0000000000,0.0034567901,0.0000498868,-0.0027203482,0.0076905150,0.0011877227,0.0046750818,0.0018121911,-0.0085526316,-0.0073948544,-0.0026705835,-0.0031536697,0.0032051282,-0.0032399466,0.0088839534,-0.0019204916,0.0033018868,0.0329192547,
03/03/2011,0.0211291605,0.0297536030,0.0307603852,0.0324848965,0.0101727982,0.0016216216,0.0069585387,0.0280814173,0.0180180180,0.0068212824,0.0211614173,0.0145974805,0.0242771413,-0.0009250694,0.0207292707,0.0139599814,0.0039467193,0.0192435302,0.0176936210,0.0207524434,0.0046975362,-0.0014199503,-0.0042065010,0.0005503577,0.0007696748,0.0086976963,0.0138304269,
